gene_id	gene_name	JH.2.085.F2983.F783D	JH.2.086.5EA11.494GE	JH.2.089.H8EBA.HH51C	JH.2.090.19D3F.G36F6	JH.2.091.CAA8H.GDFG1	JH.2.092.B4F11.2H1C1	JH.2.092.B52E5.BFCBA	JH.2.093.214AE.H5A8H	JH.2.094.5HA24.CC3H4	JH.2.100.19H33.94G2C	JH.2.104.51E2H.1G93A	JH.2.107.AGD39.1CH62	JH.2.111.G645D.6C5FF
ENSG00000166546.14	BEAN1	27	49	64.001	48	193	131	98	33	203.999	28	144.001	87	71
ENSG00000166548.17	TK2	599.684	963.928	576.976	440	1025.799	851.696	698.805	476.978	1510.558	562.956	944.76	1098.223	731.842
ENSG00000166557.14	TMED3	329	410.001	249	523	349	359	252	586	594.001	268	289.001	576.999	304
ENSG00000166558.11	SLC38A8	0	0	0	0	2	0	1	0	0	0	0	0	0
ENSG00000166562.9	SEC11C	89.001	310.999	81.001	392	106	120	116	90	213.999	126	131	191	120.999
ENSG00000166569.8	CPLX4	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000166573.6	GALR1	173	300	878	22	745	3016	2381	966	512	1218	154	699	939
ENSG00000166575.17	TMEM135	288.999	445	217.001	311	288.999	323.001	455.999	229.999	424	274.999	273.999	315.999	289
ENSG00000166578.10	IQCD	34.999	18	17	14	12.001	22	18	12	23	17	14	25	7
ENSG00000166579.16	NDEL1	536.999	558	380.001	797.001	600	685.001	451.999	1593.001	622	451.001	523	483.001	494.001
ENSG00000166582.11	CENPV	22	12	16	41	8	8	8	12	33	7	6	10	9
ENSG00000166589.13	CDH16	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166592.12	RRAD	16	55	12	14	11	3	5	9	17	21	12	6	21
ENSG00000166595.12	CIAO2B	186	190	112	254	186	163	128	163	296	164	154	260.001	198
ENSG00000166596.15	CFAP52	19	1	23	1	2	1	0	0	13	0	5	3	5
ENSG00000166598.16	HSP90B1	4883.001	4213.991	4762.997	9753.999	5331.994	4377.999	4021.004	1630	6698.002	3116.988	5110.003	5524.999	5332.999
ENSG00000166603.5	MC4R	0	0	0	14	0	0	0	2	0	0	0	0	0
ENSG00000166619.15	BLCAP	258.999	386	271	442.999	434	425.001	288.999	687	576	260.412	396	386	355
ENSG00000166634.7	SERPINB12	0	0	0	2	1	0	0	393	0	0	0	6	2
ENSG00000166664.15	CHRFAM7A	33.392	5	28.455	19.452	52.877	24.82	32.552	11.857	27.995	5.608	26.139	64.272	21.506
ENSG00000166669.14	ATF7IP2	194	54	222	244	398.002	93	106	44.098	205	186.001	290.001	336.001	208.999
ENSG00000166670.10	MMP10	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166676.17	TVP23A	60	24	63.999	53	172.001	9	10	6	19	81.999	118	85	110.999
ENSG00000166681.14	BEX3	1035.001	572	369	322	617	284	284	110.999	1084	502	534	763	439
ENSG00000166682.13	TMPRSS5	176.001	33	75	9	24	83	85	26	74.999	503.999	23	46	185.001
ENSG00000166685.13	COG1	191	331	198.999	260	243	321	261	253	409	207	281.999	171	284
ENSG00000166689.17	PLEKHA7	192.001	196.998	195.999	114.999	248.002	219.001	184.999	229.001	207	515	242.002	102.001	191.001
ENSG00000166693.7	OR5M13P	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166704.13	ZNF606	147	300	247	147.001	202	212.001	204	97	323	143	284.999	205	200.001
ENSG00000166707.12	ZCCHC18	5	24	7	33	19	13	12	8	24	12	16	8	10
ENSG00000166710.23	B2M	13895.999	10655	7043.999	18367.999	8381	7847	10372.999	8086.001	15101	6363.001	12247.999	26676	9482.999
ENSG00000166716.10	ZNF592	782	914	736	795	1227	991	739	684.779	1125	703	838	703	897
ENSG00000166734.20	GOLM2	1345.999	1862.999	1165.999	1440	1580	1386	1609	503.999	2049	985.001	1333.988	1488.001	1363.002
ENSG00000166736.12	HTR3A	0	0	0	12	0	0	0	5	0	0	0	0	0
ENSG00000166741.8	NNMT	661	156	78.999	3816.001	250.999	105	121	1133	412.999	190	214	806	299
ENSG00000166743.10	ACSM1	1	2	0	5	1	2	0	1	1	0	4	0	2
ENSG00000166747.13	AP1G1	1019.999	1339.003	872.999	1518.001	1183.001	1188.002	1206	1527	1544	750	1172	1225.999	1159.001
ENSG00000166750.10	SLFN5	1470	762	1026	2619	2002.001	569	871.999	631	942.999	949	1147	1732	1144
ENSG00000166762.19	CATSPER2	38.919	118.436	176.626	100.317	183.368	98.543	83.72	80.026	93.034	89.487	178.489	86.857	148.257
ENSG00000166763.8	STRCP1	4	4.133	9.289	0	0	1.125	0	4.417	0	7	4.122	1.466	5.249
ENSG00000166770.12	ZNF667-AS1	156	158	90.999	105.001	124.998	66	66	21	155.001	129	145	98	153.999
ENSG00000166780.11	BMERB1	585	300.001	393	243	341.001	377	281.958	374.999	773	243	302.999	424	330
ENSG00000166783.22	MARF1	1314.999	1869.002	1185	1066.001	1686.999	1672	1515.001	992.999	1837.001	1074	1708.999	1135	1484
ENSG00000166787.3	SAA3P	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166788.10	SAAL1	48	132.999	53	103.001	70.001	65.001	98.001	72	103	42.001	66	85.001	57
ENSG00000166793.13	YPEL4	71.999	90	38.001	25	45	60	58	17	77	24.999	55.001	12	56
ENSG00000166794.6	PPIB	2126	1402	1549	2822	1746	2167	1608	1970.999	3636	1328	1552	2817	1710
ENSG00000166796.12	LDHC	0	3	0	4	0	0	0	0	0	0	0	0	5
ENSG00000166797.11	CIAO2A	148	237.001	107	174.001	104	121.999	149	74	221	107	122.001	277	85
ENSG00000166800.11	LDHAL6A	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000166801.17	FAM111A	675	543.999	652.001	714.999	1036.001	676	826.999	259	612	535.999	1017	561.999	695.001
ENSG00000166803.14	PCLAF	4.067	2	3.297	17.191	4	1	5	24.453	0	8	1	7.756	3.793
ENSG00000166813.17	KIF7	146	198	131	185	182	160	136	93	247	159	143	69	136.999
ENSG00000166816.15	LDHD	24.999	80.001	20	10	36.001	53	41	19	43	50	45.999	60	26.999
ENSG00000166819.12	PLIN1	2	4	5	177	8	5	8	1	3	6	9	2	16
ENSG00000166821.9	PEX11A	33	100	32	28	73	51	38	26	48	44	65	34	54
ENSG00000166822.13	TMEM170A	253.557	268.755	255.638	418.805	365.333	227	246.999	184.051	314.678	252.912	293.388	302.032	297.093
ENSG00000166823.6	MESP1	11	9	7	5	8	10	2	2	23	7	12	6	4
ENSG00000166825.15	ANPEP	180	335	107	201.001	82	357.001	385	867	632	50	93	49	148.001
ENSG00000166828.3	SCNN1G	1	0	0	1	0	0	0	31	0	0	0	0	0
ENSG00000166831.9	RBPMS2	17	14	17	16	11	16	6	3	25	14	7	11	9
ENSG00000166833.23	NAV2	727	1635	392	344	826	199	200	288	813.001	834.999	538	455.001	714.001
ENSG00000166839.17	ANKDD1A	115.001	158.001	74.001	91	179	95	102.922	75.999	189	81	175	130	110
ENSG00000166840.14	GLYATL1	3	3	1	0	0	2	0	7	2	0	2	3	0
ENSG00000166845.15	C18orf54	73	68	90	85	97	95	134.999	23	85	79	87.999	101	119
ENSG00000166847.10	DCTN5	710.791	1016	755.025	872.002	1055.895	1047	933.001	958	1385.268	649.292	886	1080	820.227
ENSG00000166848.7	TERF2IP	885.001	1013.999	492	887.001	558	598.001	586	399.999	983.999	505	624.999	675.001	611
ENSG00000166851.15	PLK1	14	23	23	82	57	22	19	195	33	20	24	15	26
ENSG00000166855.9	CLPX	455	634	393	565.001	430.001	488	567	455.001	572.001	352	454	495	493
ENSG00000166856.3	GPR182	1	3	0	37	0	0	1	5	1	0	0	0	0
ENSG00000166860.3	ZBTB39	128	171	169	218	218	222	158	158	261	136	222	122	173
ENSG00000166862.7	CACNG2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166863.13	TAC3	0	1	2	0	2	3	1	0	1	0	0	0	1
ENSG00000166866.13	MYO1A	1	4	6	1	10	3	6	5	4	8.001	7.001	10	10
ENSG00000166869.3	CHP2	1	0	1	0	0	0	0	101	0	8	0	4	3
ENSG00000166881.10	NEMP1	222	240	167	284	264	166	192	206	302	259	255	245	184
ENSG00000166884.3	OR4D6	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166886.13	NAB2	560	514	315	515.999	430	771	434	310.999	615	430	290.999	337.001	518
ENSG00000166887.16	VPS39	861	940.001	614.001	903.001	1008.999	892.001	747.001	745	1297	673	998	806.998	762
ENSG00000166888.12	STAT6	1360.002	1404.001	875.999	2035.999	1769	1523	1046	1735.001	1803.001	1134	1410.999	1034	1236.998
ENSG00000166889.14	PATL1	326	312	199	338	405	286	222	335	329	157	317	260	273
ENSG00000166896.9	ATP23	26	40	33	22.999	38	20.001	14.999	16.999	42.999	40	26	29	32
ENSG00000166897.16	ELFN2	39	1	41	4	33	39	18	0	73	30	59	0	19
ENSG00000166900.17	STX3	222	320	153.999	285	339.999	179.002	198	358	288	251.001	263	315	282
ENSG00000166902.5	MRPL16	93	201	83	208	145	176.997	153.999	150	242	99.298	178	251	148
ENSG00000166908.18	PIP4K2C	198	275	115	137	176	228.999	170	291	278	153	196	185	184.999
ENSG00000166912.17	MTMR10	676	956	564	598	917.001	774	808.001	444	854.001	664.001	856.999	926	751
ENSG00000166913.13	YWHAB	1679	2113	1598	3206.001	2112	2105.001	1977.999	2237.001	2828.999	1348.001	2103.001	2829	1893.001
ENSG00000166917.11	MIR202HG	2	1	0	0	0	0	2	4	0	0	1	0	0
ENSG00000166920.13	C15orf48	19	0	0	30	3	0	3	135	4	3	2	8	4
ENSG00000166922.9	SCG5	65.019	2.571	38.131	14.63	44.476	6.471	7	4.164	72	52.18	32.279	27.194	19.04
ENSG00000166923.12	GREM1	61	16	1	361.001	2	0	1	185	6	4	8	7	18.999
ENSG00000166924.9	NYAP1	16	10	14	13	34	29	17	4	42	24	23	3	15
ENSG00000166925.9	TSC22D4	588	444	434.999	617.353	684	355.999	315	372	664	953	377	364.099	451
ENSG00000166926.9	MS4A6E	2.002	0	0	3	0	0	0	1	1	0	0	0	0
ENSG00000166927.13	MS4A7	823.543	240	500.962	936.999	1248	258	513.999	223.001	733.597	411.999	2640.477	2844.999	685.001
ENSG00000166928.11	MS4A14	46.457	37	76.038	53	186.001	28	33	3	37.404	24	196.522	81	70
ENSG00000166930.7	MS4A5	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166938.13	DIS3L	188.999	532	329	336	490.999	414	407	284	405.001	340.999	368	409	315
ENSG00000166946.14	CCNDBP1	265.999	639.001	261	519.001	348.998	380	395.999	287.001	690	286.999	404.999	470.001	384
ENSG00000166947.15	EPB42	0	1	0	7	0	0	0	0	0	0	0	0	1
ENSG00000166948.10	TGM6	0	0	0	0	0	0	0	3	0	0	0	0	0
ENSG00000166949.17	SMAD3	983.001	434	628.001	1046.999	602.001	448.001	423.001	663.001	863.999	476	568	414	594.001
ENSG00000166959.8	MS4A8	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166960.17	CCDC178	7	3	9	6	2	2	6	1	13	7	9	16	15
ENSG00000166961.15	MS4A15	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000166963.13	MAP1A	1646	1692	1221	1067	1537	1365	961	1635	3305	1074	874	917	1239
ENSG00000166965.13	RCCD1	144	111	104.001	99	119	118	85	76.999	185.999	109	121.999	74	100.001
ENSG00000166971.17	AKTIP	169.877	391.942	202.001	183	280.999	340.999	280	145.914	302.001	166.929	221.904	215.914	281.539
ENSG00000166974.13	MAPRE2	625.999	785.999	451.001	740	735.999	1897.999	1520	483.998	818	443	781.999	808.001	609
ENSG00000166979.13	EVA1C	100	373.001	88	210.999	94	144	99.999	299.001	116.001	146	145.002	117.999	116
ENSG00000166984.12	TCP10L2	0	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000166986.15	MARS1	579.002	402.001	554.001	1365.996	859.999	705	436	1058	1114.002	553.999	835.999	771.002	661.001
ENSG00000166987.15	MBD6	297.001	239	264.999	208	692.998	311	213	232.999	286.001	285	335	106	377
ENSG00000166997.8	CNPY4	163	129.999	142	197	181	212	182	87	256	118	179	167	191
ENSG00000167004.14	PDIA3	2380.989	2266.069	1834.123	2933.106	2163.633	2235.249	1888.534	2174.65	4031.67	1415.918	2180.318	2807.182	2252.692
ENSG00000167005.14	NUDT21	833	1430	830	1177.001	1012.001	1247	1250	781	1529.999	672	949.627	1272	1050.939
ENSG00000167011.9	NAT16	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000167014.11	TERB2	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000167034.10	NKX3-1	29	10	29	15	27	2	4	14	51	20	48	50	4
ENSG00000167037.19	SGSM1	30	140	20	35	32	42.999	34	43	48	23	41.999	7	23
ENSG00000167046.4	ENSG00000167046	1	2	0	5	0	0	0	6	0	1	0	0	0
ENSG00000167065.14	DUSP18	69	68	102	72	119.473	80.999	49	99.999	135.001	63	100.443	85	102.246
ENSG00000167074.15	TEF	816	692	454	93	808	1209	1170	356	1513	264	279	511	793
ENSG00000167077.13	MEI1	4	30.001	9	160	12.999	11	8	20	15.001	12	18.999	19.999	8
ENSG00000167080.9	B4GALNT2	13	1	3	2	2	3	4	6	1	1	3	6	4
ENSG00000167081.18	PBX3	138	216	177	174.999	250	167	170	161	182.999	173.001	252	233.001	177
ENSG00000167083.7	GNGT2	7	2	18	23	21	5	2	6	11	14.999	26	41	10
ENSG00000167085.14	PHB	422	777.001	333.001	613	444	504	357.001	695	897.001	384.001	478	737.998	456.999
ENSG00000167088.11	SNRPD1	123	270.999	159	372	179	265.999	218	227	248	144.001	177.999	270	244
ENSG00000167094.16	TTC16	2	8	3	6	6	0	5	1	5	7	7	1	9
ENSG00000167098.12	SUN5	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167100.15	SAMD14	23	8	16	33	19	20.999	16	12.001	59	19	21.999	15	16
ENSG00000167103.12	PIP5KL1	4	9	1	2	4	8	4	12	6	3	4	2	3
ENSG00000167104.11	BPIFB6	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167105.8	TMEM92	8	2	4	2	7	10	10	6	14	15	6	5	7
ENSG00000167106.12	FAM102A	543	613.999	490	518	556.001	632.999	487	736.999	523.001	655	504	277.999	829.999
ENSG00000167107.13	ACSF2	135.001	114.999	99.001	106.999	102.999	54.001	70.999	77.999	138.001	89	153	125.001	84
ENSG00000167110.19	GOLGA2	1056.001	1094	804.999	1026.001	951	1398	838.999	1033.998	1333	720.002	905.002	774	1165.9
ENSG00000167112.10	TRUB2	141	213	133	350	152.999	213	143	295	235.999	167	149.521	299	183
ENSG00000167113.11	COQ4	173	250	209.001	301.001	252	257.001	184	299	321.001	232	265	183.999	298
ENSG00000167114.13	SLC27A4	74	97	130	239	182	186	96	628	258	155	157	188	153
ENSG00000167117.10	ANKRD40CL	0	0	0	0	0	0	0	0	0	1	0	2	0
ENSG00000167118.11	URM1	188	248	150	314.999	182	264.001	187.001	245	308	223	231	308	225
ENSG00000167123.20	CERCAM	687	365	428	522	326	386.999	330.999	538	755.001	353	308	282	536.001
ENSG00000167130.18	DOLPP1	80	85	66	102	50	134	87	109	119	70	57	88	79
ENSG00000167131.17	CCDC103	0	0	1	3.871	3.936	0	28	1.982	50	0	0	3	0
ENSG00000167136.7	ENDOG	22	78	39	69	24	61	44	54	80	63	51	66	38
ENSG00000167139.9	TBC1D21	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167157.11	PRRX2	19	92	8	234	9	39	51	259	26	5	11	25	48
ENSG00000167165.19	UGT1A6	0	1	0	0	1	0	0	110.694	0	0	0	0	0
ENSG00000167173.19	C15orf39	355	202	250.999	627	411	330.999	285.001	472.001	432	212	205.999	172	324.999
ENSG00000167178.17	ISLR2	35	10	27	49	50	17	4	6	43	7	21	15	38
ENSG00000167182.16	SP2	84	144	81	81	185	147	116	130	141	98	121	53	117
ENSG00000167183.3	PRR15L	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000167186.11	COQ7	151	252	147	142	216	205.999	162.001	134	289	152	184	198	204
ENSG00000167191.12	GPRC5B	569	828.001	367.001	340	243	79	90	79	479	302.001	212	235	319
ENSG00000167193.8	CRK	731	979	649	1152	857	1024	859.999	818	1241.001	646	740.999	984	879.001
ENSG00000167194.8	C16orf92	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167195.8	GOLGA6C	0	3.081	3.081	0	1.207	0	3.064	0	0	0	1.954	6.666	1.5
ENSG00000167196.14	FBXO22	308.001	483	417	449.001	491	314	409	294	457	345.999	490	338	461.999
ENSG00000167202.12	TBC1D2B	1694	1743	1169	1979	1515.999	1475.999	1555.001	1504	2388	923.001	1511.001	1537.001	1210.998
ENSG00000167207.14	NOD2	169.001	17	108.999	140	89	29	54	421.999	53	64	92	55	61
ENSG00000167208.16	SNX20	90	16	93.999	421	98	19.999	49	84	68	91.999	133	147	48
ENSG00000167210.17	LOXHD1	3	3	0	11	7	7	2	12	41	1	6	10	11
ENSG00000167216.19	KATNAL2	79	81.999	63.998	36.001	97.999	72.001	62	37.001	77	86	84	62.999	58.999
ENSG00000167220.12	HDHD2	216	370.701	266.001	303.077	352.76	353.231	309	216.998	504.25	203.285	322.273	403.059	321.593
ENSG00000167232.14	ZNF91	664.999	1022.001	1042.756	1208.999	1012.731	639	1086.001	207	750.001	549.722	1242.221	1103.999	916.993
ENSG00000167244.22	IGF2	2295.633	464.796	3157.226	2803.988	5690.378	141.821	102.328	216.325	2531.084	2739.503	854.834	702.028	648.688
ENSG00000167257.11	RNF214	187	309.999	180.001	181	279	264	214.001	136	297	168	283	172	250.001
ENSG00000167258.15	CDK12	929.001	1220.001	766	1287	1109.998	984	928.998	994	1160	616.999	1062	909.001	900.999
ENSG00000167261.14	DPEP2	67.001	11	41	104	54.999	15	26	13.999	50	54	71	76	29
ENSG00000167264.18	DUS2	70.999	64.001	49.001	129	68	61.999	37	119.999	97.001	53	76	99	58
ENSG00000167272.11	POP5	53.001	127	69.001	109.001	100.001	123	76	58	165.001	84	102	104.999	116
ENSG00000167280.17	ENGASE	329	290	470.999	407	830	451.001	374.999	307	468	513	568	127.999	392.999
ENSG00000167281.20	RBFOX3	1	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000167283.9	ATP5MG	349.387	549.905	303.721	749.336	326.639	390.087	328.6	405.911	547.405	280.974	326.942	776.99	364.859
ENSG00000167286.11	CD3D	29	6	16	430	26	5	11	35	11	6	38	46	22
ENSG00000167291.16	TBC1D16	900.999	1097.002	1119	880	1830	1356	977	1046	2476	983	1186.999	1036	1640.001
ENSG00000167302.11	TEPSIN	172	144	183.001	266.001	293.999	168	124.999	134.999	256	206.001	219	87	212
ENSG00000167306.20	MYO5B	77	375	26	149	4	273	280	927.658	34	34	44.999	11	73
ENSG00000167311.14	ART5	2	1	4	4	4	0	3	0	3	1	6	6	1
ENSG00000167315.18	ACAA2	248.001	273.001	179	351	319	287	262	233.462	480.998	194	308	476	276.99
ENSG00000167323.12	STIM1	574.001	663.999	478	692.999	701.999	787.001	588	961.999	1095.001	426	511	501.999	555
ENSG00000167325.15	RRM1	218	406	165.001	329	242.001	260	283	525	321.999	184.999	225	310	194.999
ENSG00000167332.9	OR51E2	3	9	1	3	2	0	0	0	6	2	4	3	3
ENSG00000167333.13	TRIM68	92	204	100	125	150.999	179	150	76	183	91	149	110	117
ENSG00000167346.9	MMP26	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167355.8	OR51B5	19	6	11	10.002	15.999	5.999	14	2	17	9	17	7	8.763
ENSG00000167359.8	OR51I1	7	2	8	3	5	2	1	1	8	2	13	4	14
ENSG00000167360.6	OR51Q1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167363.14	FN3K	70	170	77.999	34.945	128	74	72	24	59	139	55	44	100
ENSG00000167371.21	PRRT2	117.145	74.897	136.412	31.122	302.678	85.756	74.419	21.601	147.247	78.642	129.14	3.439	190.289
ENSG00000167377.19	ZNF23	103.477	168.929	123.409	132.942	208.008	134.273	135.806	51.751	142.779	94.567	156.891	106.092	140.519
ENSG00000167378.10	IRGQ	536	802	470.818	767	744.924	901.79	596.001	532	1226	541	620	496	682.794
ENSG00000167380.17	ZNF226	202.999	314.999	245.999	243	258.999	209	253	86	205.001	166.001	318.999	176	287
ENSG00000167384.11	ZNF180	62	172	119	165.001	124	145	168.999	63	130.001	69	132	121.999	126
ENSG00000167390.8	POM121L3P	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000167393.18	PPP2R3B	8.769	61.402	134.489	71.262	28.4	50.141	107	10.091	58.681	114.559	109.699	26.725	21.573
ENSG00000167393.18_PAR_Y	PPP2R3B	56.231	37.598	2.51	24.739	156.601	99.859	0	90.909	99.318	94.441	7.301	50.276	153.426
ENSG00000167394.13	ZNF668	85	125	69	145.999	70	111.999	90	152	180.999	73	45	85	77
ENSG00000167395.10	ZNF646	426	403	325	468.001	484.999	448.001	400	418.999	510	305.001	350	269.001	376.001
ENSG00000167397.15	VKORC1	512	254.364	286.485	394.559	258.023	323.641	335.377	421	614.663	266.516	287.001	391.354	327.349
ENSG00000167414.5	GNG8	0	0	0	0	0	0	2	1	2	1	1	2	0
ENSG00000167419.11	LPO	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167434.10	CA4	0	1	0	1	2	1	1	4	14	0	0	2	1
ENSG00000167447.13	SMG8	145	206	151	252	157	215	193.001	156	265	92	155	241	158
ENSG00000167459.17	LINC00905	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167460.17	TPM4	4413.923	2472.821	3285.939	5416.947	3754.98	3837.878	2847.93	4410.95	6359.856	2734.883	3601.704	3852.924	3683.801
ENSG00000167461.12	RAB8A	562	336.998	356.999	687.001	507	475	406	465.999	782	348	522	596	437.989
ENSG00000167468.19	GPX4	898	836.998	552	935	907.001	551.001	498.001	530	1181	797.001	582.999	1261	928.999
ENSG00000167470.14	MIDN	535	372.001	365	993	434.999	486.001	329	1177	626	313.999	218	251.999	517.001
ENSG00000167476.10	JSRP1	0	0	0	107	1	2	0	4	2	2	3	3	1
ENSG00000167483.19	NIBAN3	8	7	7	440.999	10	9	15	5	6	6	22	4	10
ENSG00000167487.12	KLHL26	130	136	102	185	176	166	135	92.998	233	124.999	123	96	120
ENSG00000167491.18	GATAD2A	578	603	497	1284	873	769.001	481.999	1094	1044	604.998	556.001	547.001	665
ENSG00000167494.9	NOS2P2	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000167508.12	MVD	202	130.001	152.999	239.001	190	133.001	113.999	271.999	274.001	163.999	134	102	198
ENSG00000167513.9	CDT1	6	1	3	40	29	2	7	97	20	12	3	8	3
ENSG00000167515.11	TRAPPC2L	136.001	255.999	93.999	175.999	128.999	157	159.999	139	261.998	125	118	171	135
ENSG00000167522.17	ANKRD11	1487.001	1387.001	1395	1624.928	2366	1360.001	1128	1067	2004.956	1483	1465.999	808.998	1610
ENSG00000167523.15	SPATA33	32	40.999	44	46.086	78	55	36	41.001	80.001	42	51	43.001	32
ENSG00000167524.16	RSKR	73.999	118	127.897	139.553	178.868	101.001	80.898	127.433	99.467	107.256	150.994	88	141.817
ENSG00000167525.15	PROCA1	24	20	32	30.001	76.001	28	25	8	47	59	57	17.001	33
ENSG00000167526.14	RPL13	6348.805	10787.014	4283.837	9720.624	4023.412	5002.937	5304.175	7771.889	8266.922	4432.901	3403.367	7347.692	4839.876
ENSG00000167528.13	ZNF641	385.999	628	504	476	834.002	727.999	621	434	757.001	460	671	513	610.001
ENSG00000167531.6	LALBA	0	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000167535.8	CACNB3	197.001	67	152	60	207	120	102.001	158	332.999	108.999	180.002	97	254.999
ENSG00000167536.14	DHRS13	26	51	19	77	41	83	33	101	68	22	32.999	20	36
ENSG00000167543.16	TP53I13	317.999	222	230.999	335.001	427	265	237	226	414	349	319.999	191	311
ENSG00000167548.18	KMT2D	1893.337	1632.664	2021.981	2297.169	3655.958	2501.56	1653.978	2573.13	2684.092	2011.42	2326.243	908.358	2389.145
ENSG00000167549.19	CORO6	22.001	58.001	13	26	29	19	23.999	16	42	24	35	23	19.999
ENSG00000167550.11	RHEBL1	10	3	9	7	25	6	11	2	13	22	19	19	9
ENSG00000167552.15	TUBA1A	1805.714	4765.018	2906.42	3828.862	4510.801	8673.854	3927.841	2829.317	11700.585	4503.934	3693.178	7998.574	3798.898
ENSG00000167553.17	TUBA1C	228.896	191.013	183.934	915.562	271.483	239.789	142.936	3320.819	473.197	366.447	155.476	505.198	327.618
ENSG00000167554.15	ZNF610	66	62	47	17	49.001	74	67.999	10	50	41	67	43.001	46
ENSG00000167555.14	ZNF528	269	598.001	394.999	219	536	366.999	433	257	495	284	557.001	314.999	431.001
ENSG00000167562.14	ZNF701	124.43	188.794	129.737	119.669	172.606	188.512	221.034	75	148.446	118.105	166	163.479	155.056
ENSG00000167565.13	SERTAD3	214	162	116	217	161	171.001	119	158	237	103	149	236	119
ENSG00000167566.17	NCKAP5L	765.001	421.001	621	537.001	946	573	444.001	326.001	938	713.001	561.001	483	655
ENSG00000167578.18	RAB4B	197.741	96.104	145.442	173.522	265.584	101.338	68.674	107.893	162.496	155.571	205.862	149.108	157.153
ENSG00000167580.8	AQP2	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167588.13	GPD1	0	0	1	68	8	3	4	4	3	4	3	4	3
ENSG00000167595.16	PROSER3	165.999	87	104	86.999	178.999	121	109	153	145.001	118	134.028	43	144
ENSG00000167600.14	CYP2S1	25	4	21	35	16	10	11	49	24	21	29	22	28
ENSG00000167601.12	AXL	2222	1588.999	1631.999	1121	2806	1969	1447.999	1594	3318.001	1509.999	2820	4170	2248.001
ENSG00000167604.15	NFKBID	259	37	164.999	205	320.999	45	27	75.999	234	124	190	175.001	100
ENSG00000167608.12	TMC4	7	7	3	22	11	13	18	10	17	5	8	3	1
ENSG00000167612.13	ANKRD33	1	0	3	2	5	1	0	1	2	0	0	1	1
ENSG00000167613.16	LAIR1	491	131.001	924.927	761.999	940.947	159.001	304	296.99	513.978	664.939	1079.962	1467.998	432.999
ENSG00000167614.14	TTYH1	77	50	118	35.001	76.999	292	250.001	31.001	52	298	34	4	255
ENSG00000167615.17	LENG8	2058.999	1654.001	2214	1935	4395.001	2549	2138.001	2080.999	2365	2732	3053	777.001	2713
ENSG00000167617.3	CDC42EP5	245	142	216	156	304	346	265	187	655	198	245	246	318
ENSG00000167618.10	LAIR2	0	0	1.073	0	2.053	0	0	1.009	1.023	1.062	1.038	0	1
ENSG00000167619.13	TMEM145	5	14.999	7	3	10	8	15	6	35	2	2	0	5
ENSG00000167625.11	ZNF526	126	176	103	171	188	220.949	148	146	219	103	131	79	153
ENSG00000167632.18	TRAPPC9	449	359.999	374	397	580.999	471	350	516.999	571.999	401	489	431.001	420
ENSG00000167633.18	KIR3DL1	2	0	0	0	1	0	0	0	0	0	0	1	0
ENSG00000167634.12	NLRP7	0	0	0	14	0	0	1	1.011	0	0	1	4.149	0
ENSG00000167635.12	ZNF146	574.999	726.001	545	1039	740	640	745.999	237	744	396	794	673.001	770
ENSG00000167637.18	ZNF283	137	355	189	228	222	281	324	109	271	168	251	217	213
ENSG00000167641.11	PPP1R14A	19	16	10	40	7	4	5	7	39	23	9	5	25
ENSG00000167642.13	SPINT2	147	28	106.999	325.842	147.627	37	45	728	126	119	153.999	327	74
ENSG00000167644.12	C19orf33	7	3	5	2	1	0	1	118	2	0	0	2	33
ENSG00000167645.17	YIF1B	119.999	79	118.998	156.998	159	148	98	149	237.002	121.998	145	181.999	105
